 Nombre , Correo , Edad 
Mario Vargas,LUCIA@ICLOUD.COM,59
Sofía Ramírez,CARLOS@OUTLOOK.COM,34
María López,ana@live.com,58
Luis Pérez, maria@hotmail.com ,28
María López,MARIO@GMAIL.COM,25
 PEDRO SÁNCHEZ , mario@gmail.com ,32
Sofía Ramírez,CARLOS@OUTLOOK.COM,32
Ana Torres,PEDRO@PROTONMAIL.COM,24
Mario Vargas,sofia@mail.com,26
Mario Vargas,mario@gmail.com,47
,,
Sofía Ramírez,ana@live.com,51
 MARÍA LÓPEZ , CARLOS@OUTLOOK.COM ,53
Oscar Alegre,OSCAR@GMAIL.COM,52
María López,maria@hotmail.com,39
Mario Vargas,pedro@protonmail.com,28
Mario Vargas,maria@hotmail.com,45
Ana Torres,oscar@gmail.com,34
,,
 PEDRO SÁNCHEZ ,mario@gmail.com,36
Ana Torres,carlos@outlook.com,39
Sofía Ramírez,ana@live.com,48
 OSCAR ALEGRE , MARIA@HOTMAIL.COM ,32
Sofía Ramírez, pedro@protonmail.com ,21
,,
Ana Torres,oscar@gmail.com,47
Luis Pérez,carlos@outlook.com,44
 CARLOS RUIZ ,OSCAR@GMAIL.COM,37
Oscar Alegre,SOFIA@MAIL.COM,37
Ana Torres, juan@yahoo.com ,25
Luis Pérez,CARLOS@OUTLOOK.COM,57
Sofía Ramírez, carlos@outlook.com ,58
Pedro Sánchez,CARLOS@OUTLOOK.COM,40
Ana Torres,LUIS@GMAIL.COM,26
Juan Pérez, JUAN@YAHOO.COM ,44
Luis Pérez, pedro@protonmail.com ,23
