 Nombre , Correo , Edad 
Mario Vargas,lucia@icloud.com,59
Sofía Ramírez,carlos@outlook.com,34
María López,ana@live.com,58
Luis Pérez,maria@hotmail.com,28
María López,mario@gmail.com,25
Pedro Sánchez,mario@gmail.com,32
Sofía Ramírez,carlos@outlook.com,32
Ana Torres,pedro@protonmail.com,24
Mario Vargas,sofia@mail.com,26
Mario Vargas,mario@gmail.com,47
Sofía Ramírez,ana@live.com,51
María López,carlos@outlook.com,53
Oscar Alegre,oscar@gmail.com,52
María López,maria@hotmail.com,39
Mario Vargas,pedro@protonmail.com,28
Mario Vargas,maria@hotmail.com,45
Ana Torres,oscar@gmail.com,34
Pedro Sánchez,mario@gmail.com,36
Ana Torres,carlos@outlook.com,39
Sofía Ramírez,ana@live.com,48
Oscar Alegre,maria@hotmail.com,32
Sofía Ramírez,pedro@protonmail.com,21
Ana Torres,oscar@gmail.com,47
Luis Pérez,carlos@outlook.com,44
Carlos Ruiz,oscar@gmail.com,37
Oscar Alegre,sofia@mail.com,37
Ana Torres,juan@yahoo.com,25
Luis Pérez,carlos@outlook.com,57
Sofía Ramírez,carlos@outlook.com,58
Pedro Sánchez,carlos@outlook.com,40
Ana Torres,luis@gmail.com,26
Juan Pérez,juan@yahoo.com,44
Luis Pérez,pedro@protonmail.com,23
